Comunidad autonoma,Estacion,Altura,Mes,T,TM,Tm,R,H,DR,DN,DT,DF,DH,DD,I
Comunidad de Madrid,Madrid Retiro,667,Junio,22.2,28.2,16.1,21,44,3.4,0.0,2.8,0.0,0.0,9.4,315
Comunidad de Madrid,Madrid Retiro,667,Julio,25.6,32.1,19.0,12,38,1.7,0.0,2.0,0.0,0.0,17.5,355
Comunidad de Madrid,Madrid Retiro,667,Agosto,25.1,31.3,18.8,10,41,1.7,0.0,1.6,0.0,0.0,13.6,332
Comunidad de Madrid,Madrid Retiro,667,Septiembre,20.9,26.4,15.4,22,50,3.3,0.0,1.8,0.2,0.0,8.1,259
Comunidad de Madrid,Madrid Retiro,667,Octubre,15.1,19.4,10.7,60,64,6.9,0.0,1.0,0.8,0.0,6.3,0
Comunidad de Madrid,Madrid Retiro,667,Noviembre,9.9,13.5,6.3,58,71,6.5,0.1,0.1,2.3,0.9,7.1,144
Comunidad de Madrid,Madrid Retiro,667,Diciembre,6.9,10.0,3.6,51,74,6.8,0.6,0.1,4.6,4.5,6.9,124
Comunidad de Madrid,Madrid Aeropuerto,609,Enero,5.5,10.7,0.2,29,74,5.2,0.7,0.0,4.1,16.2,7.9,144
Comunidad de Madrid,Madrid Aeropuerto,609,Febrero,7.1,13.0,1.2,32,67,4.7,0.9,0.2,2.0,11.5,6.5,168
Comunidad de Madrid,Madrid Aeropuerto,609,Marzo,10.2,17.0,3.5,22,58,3.5,0.3,0.4,0.6,4.7,7.8,224
Comunidad de Madrid,Madrid Aeropuerto,609,Abril,12.2,18.7,5.7,38,56,6.4,0.1,1.2,0.3,0.9,5.0,226
Comunidad de Madrid,Madrid Aeropuerto,609,Mayo,16.2,23.1,9.3,44,52,6.8,0.0,2.9,0.3,0.1,5.2,258
Comunidad de Madrid,Madrid Aeropuerto,609,Junio,21.7,29.5,13.9,22,42,3.6,0.0,2.7,0.1,0.0,8.9,310
Comunidad de Madrid,Madrid Aeropuerto,609,Julio,25.2,33.5,16.8,9,35,1.5,0.0,2.2,0.0,0.0,16.8,354
Comunidad de Madrid,Madrid Aeropuerto,609,Agosto,24.7,32.8,16.5,10,37,1.5,0.0,1.5,0.0,0.0,13.5,329
Comunidad de Madrid,Madrid Aeropuerto,609,Septiembre,20.5,27.9,13.1,24,48,2.9,0.0,1.7,0.4,0.0,8.0,258
Comunidad de Madrid,Madrid Aeropuerto,609,Octubre,14.8,21.0,8.7,51,63,6.6,0.0,0.9,1.0,0.2,6.1,199
Comunidad de Madrid,Madrid Aeropuerto,609,Noviembre,9.4,14.8,4.1,49,72,6.2,0.0,0.2,2.3,5.4,6.8,151
Comunidad de Madrid,Madrid Aeropuerto,609,Diciembre,6.2,10.9,1.4,42,76,6.3,0.6,0.1,5.6,12.8,6.4,128
Comunidad de Madrid,Puerto de Navacerrada,1894,Enero,-0.4,2.3,-3.2,124,80,11.5,12.4,0.1,12.6,25.6,6.2,109
Comunidad de Madrid,Puerto de Navacerrada,1894,Febrero,0.1,3.0,-2.9,96,79,9.9,11.7,0.0,9.5,22.0,5.4,114
Comunidad de Madrid,Puerto de Navacerrada,1894,Marzo,2.3,5.8,-1.1,84,74,9.2,9.4,0.4,8.7,19.0,5.7,162
Comunidad de Madrid,Puerto de Navacerrada,1894,Abril,3.4,7.0,-0.3,127,77,12.2,10.9,1.2,9.2,17.1,3.8,166
Comunidad de Madrid,Puerto de Navacerrada,1894,Mayo,7.4,11.5,3.2,124,72,12.4,4.6,3.7,7.8,7.5,3.2,215
Comunidad de Madrid,Puerto de Navacerrada,1894,Junio,13.2,18.0,8.3,64,59,6.6,0.6,4.2,3.6,0.8,7.0,289
Comunidad de Madrid,Puerto de Navacerrada,1894,Julio,17.0,22.4,11.5,23,47,3.2,0.0,2.9,2.4,0.0,14.6,348
Comunidad de Madrid,Puerto de Navacerrada,1894,Agosto,16.8,22.2,11.5,26,49,3.5,0.0,3.4,2.1,0.0,10.9,321
Comunidad de Madrid,Puerto de Navacerrada,1894,Septiembre,12.7,17.2,8.2,60,63,6.5,0.4,2.6,5.5,0.9,6.9,211
Comunidad de Madrid,Puerto de Navacerrada,1894,Octubre,7.3,10.6,3.9,156,79,11.5,2.6,0.6,9.1,4.9,5.2,146
Comunidad de Madrid,Puerto de Navacerrada,1894,Noviembre,2.8,5.6,0.1,176,83,12.2,7.7,0.2,11.9,15.4,5.4,103
Comunidad de Madrid,Puerto de Navacerrada,1894,Diciembre,0.7,3.3,-2.0,163,81,12.6,10.7,0.1,12.6,22.9,6.1,92
Comunidad de Madrid,Torrejon de Ardoz,607,Enero,5.6,10.8,0.5,29,77,5.1,0.7,0.0,2.7,15.3,7.5,149
Comunidad de Madrid,Torrejon de Ardoz,607,Febrero,7.3,13.1,1.4,31,70,4.6,0.8,0.2,1.5,10.5,6.3,163
Comunidad de Madrid,Torrejon de Ardoz,607,Marzo,10.5,17.1,3.8,23,60,3.8,0.2,0.5,0.8,4.0,5.3,202
Comunidad de Madrid,Torrejon de Ardoz,607,Abril,12.4,18.8,5.9,40,59,6.6,0.0,1.5,0.4,0.7,4.1,216
Comunidad de Madrid,Torrejon de Ardoz,607,Mayo,16.4,23.2,9.6,48,55,7.0,0.0,3.8,0.4,0.0,3.9,268
Comunidad de Madrid,Torrejon de Ardoz,607,Junio,21.9,29.6,14.1,19,44,3.1,0.0,2.9,0.0,0.0,9.6,320
Comunidad de Madrid,Torrejon de Ardoz,607,Julio,25.2,33.3,17.1,13,38,1.6,0.0,2.1,0.0,0.0,16.1,359
Comunidad de Madrid,Torrejon de Ardoz,607,Agosto,24.8,32.7,16.9,9,39,1.6,0.0,2.2,0.0,0.0,13.9,332
Comunidad de Madrid,Torrejon de Ardoz,607,Septiembre,20.6,27.8,13.4,25,50,3.5,0.0,1.6,0.1,0.0,8.2,241
Comunidad de Madrid,Torrejon de Ardoz,607,Octubre,15.0,21.0,9.0,50,65,6.6,0.0,1.0,0.8,0.0,6.3,189
Comunidad de Madrid,Torrejon de Ardoz,607,Noviembre,9.6,14.8,4.3,49,74,6.2,0.0,0.1,2.0,4.0,6.0,149
Comunidad de Madrid,Torrejon de Ardoz,607,Diciembre,6.4,11.0,1.7,42,79,6.5,0.5,0.0,4.5,11.5,6.8,124
